Host movie,Nested movie,
(500) Days of Summer,The Graduate (1967),
10 Cloverfield Lane (2016),Pretty in Pink (1986),
13 Going on 30 (2004),From Here to Eternity (1953),
30 Minutes or Less (2011),Die Hard (1988),
30 Minutes or Less (2011),Friday the 13th Part III (1982),
40 Year Old Virgin (2005),The Bourne Identity (2002),
50 First Dates (2004),The Sixth Sense (1999),
84 Charing Cross Road (1987),Brief Encounter (1945),
1941 (1979),Dumbo (1941),
A Little Romance (1979),The Sting (1973),
A Nightmare on Elm Street (1984),The Evil Dead (1981),
A Star Is Born (1954),The Charge at Feather River (1953),
A Touch of Class (1973),Brief Encounter (1945),
About a Boy (2002),Billy Elliot (2000),
About a Boy (2002),The Bride of Frankenstein (1935),
After the Fox (1966),Easy Living (1949),
All Over The Guy (2001),Gone With The Wind (1939),
Alligator (1980),The Lost World (1960),
Almost Famous (2000),A Foreign Affair (1948),
Amelie (2001),Father's Little Dividend (1951),
Amelie (2001),Jules and Jim (1962),
American Psycho (2000),The Texas Chain Saw Massacre (1974),
Android (1982),Metropolis (1927),
Anomalisa (2015),My Man Godfrey (1936),
Argo (2012),Battle for the Planet of the Apes (1973),
Arizona Dream (1992),Raging Bull (1980),
Atomic Twister (2002),Twister (1996),
Atonement (2007),Port of Shadows (Le Quai des Brumes) (1938),
Away We Go (2008),The Sound of Music (1965),
Baby's Day Out (1994),Twelve O'Clock High (1949),
Bachelor Party (1984),The Little Princess (1939),
Back To the Future Part 2 (1989),Fist Full of Dollars (1964),
Bad Teacher (2011),Lean On Me (1989),
Bad Teacher (2011),Stand and Deliver (1988),
Before I Wake (2016),House on Haunted Hill (1959),
Belly (1998),Gummo (1997),
Berry Gordy's The Last Dragon (1985),Enter the Dragon (1973),
Berry Gordy's The Last Dragon (1985),Fist of Fury (1972),
Berry Gordy's The Last Dragon (1985),The Big Boss (Tang shan da xiong) (1971),
Big (1988),The French Connection (1971),
Big Daddy (1999),Young Frankenstein (1974),
Black Hawk Down (2001),The Jerk (1979),
Blazing Saddles,Blazing Saddles,
Blow Out (1981),Murder a la Mod (1968),
Blow Out (1981),Coed Frenzy,
Blue is the Warmest Color (2013),Pandora's Box (1925),
Boiler Room (2000),Wall Street (1987),
Bombshell (1933),Red Dust (1932),
Bonnie and Clyde (1967),Gold Diggers Of 1933 (1933),
Bound (1996),Night of the Living Dead (1968),
Brazil (1985),The Cocoanuts (1929),
Bride of Chucky (1998),The Bride of Frankenstein (1935),
Bridesmaids (2011),Cast Away (2000),
Bring it On (2000),Sweet Charity (1969),
Broken Flowers (2005),The Private Life of Don Juan (1934),
Bruce Almighty,It's a Wonderful Life (1946),
Brute Force (1947),The Egg and I (1947),
Cape Fear (1991),Problem Child (1990),
Carol (2015),Sunset Blvd. (1950),
Casino (1995),He Walked By Night (1948),
Casino (1995),The Boys From Brazil (1978),
Catch Me if You Can (2002),Goldfinger (1964),
Chicken Little (2005),Raiders Of The Lost Ark (1981),
